Action,UserID,Password,NEWPassword,FamilyName,GivenName,UserRole
AU,TESTSB1,welcome1,welcome2,TEST,SB1,S
AU,TESTSB2,welcome1,welcome2,TEST,SB2,S
AU,TESTSB3,welcome1,welcome2,TEST,SB3,S
AU,TESTSB4,welcome1,welcome2,TEST,SB4,S
AU,TESTSB5,welcome1,welcome2,TEST,SB5,S
AU,TESTSB6,welcome1,welcome2,TEST,SB6,S
AU,TESTSB7,welcome1,welcome2,TEST,SB7,S
AU,TESTSB8,welcome1,welcome2,TEST,SB8,S
AU,TESTSB9,welcome1,welcome2,TEST,SB9,S
AU,TESTSB10,welcome1,welcome2,TEST,SB10,S
AU,TESTSB11,welcome1,welcome2,TEST,SB11,S
AU,TESTSB12,welcome1,welcome2,TEST,SB12,S
AU,TESTSB13,welcome1,welcome2,TEST,SB13,S
AU,TESTSB14,welcome1,welcome2,TEST,SB14,S
AU,TESTSB15,welcome1,welcome2,TEST,SB15,S
AU,TESTSB16,welcome1,welcome2,TEST,SB16,S
AU,TESTSB17,welcome1,welcome2,TEST,SB17,S
AU,TESTSB18,welcome1,welcome2,TEST,SB18,S
AU,TESTSB19,welcome1,welcome2,TEST,SB19,S
AU,TESTSB20,welcome1,welcome2,TEST,SB20,S
AU,TESTSB21,welcome1,welcome2,TEST,SB21,S
AU,TESTSB22,welcome1,welcome2,TEST,SB22,S
AU,TESTSB23,welcome1,welcome2,TEST,SB23,S
AU,TESTSB24,welcome1,welcome2,TEST,SB24,S
AU,TESTSB25,welcome1,welcome2,TEST,SB25,S
AU,TESTSB26,welcome1,welcome2,TEST,SB26,S
AU,TESTSB27,welcome1,welcome2,TEST,SB27,S
AU,TESTSB28,welcome1,welcome2,TEST,SB28,S
AU,TESTSB29,welcome1,welcome2,TEST,SB29,S
AU,TESTSB30,welcome1,welcome2,TEST,SB30,S
AU,TESTSB31,welcome1,welcome2,TEST,SB31,S
AU,TESTSB32,welcome1,welcome2,TEST,SB32,S
AU,TESTSB33,welcome1,welcome2,TEST,SB33,S
AU,TESTSB34,welcome1,welcome2,TEST,SB34,S
AU,TESTSB35,welcome1,welcome2,TEST,SB35,S
AU,TESTSB36,welcome1,welcome2,TEST,SB36,S
AU,TESTSB37,welcome1,welcome2,TEST,SB37,S
AU,TESTSB38,welcome1,welcome2,TEST,SB38,S
AU,TESTSB39,welcome1,welcome2,TEST,SB39,S
AU,TESTSB40,welcome1,welcome2,TEST,SB40,S
AU,TESTSB41,welcome1,welcome2,TEST,SB41,S
AU,TESTSB42,welcome1,welcome2,TEST,SB42,S
AU,TESTSB43,welcome1,welcome2,TEST,SB43,S
AU,TESTSB44,welcome1,welcome2,TEST,SB44,S
AU,TESTSB45,welcome1,welcome2,TEST,SB45,S
AU,TESTSB46,welcome1,welcome2,TEST,SB46,S
AU,TESTSB47,welcome1,welcome2,TEST,SB47,S
AU,TESTSB48,welcome1,welcome2,TEST,SB48,S
AU,TESTSB49,welcome1,welcome2,TEST,SB49,S
AU,TESTSB50,welcome1,welcome2,TEST,SB50,S
AU,TESTSB51,welcome1,welcome2,TEST,SB51,S
AU,TESTSB52,welcome1,welcome2,TEST,SB52,S
AU,TESTSB53,welcome1,welcome2,TEST,SB53,S
AU,TESTSB54,welcome1,welcome2,TEST,SB54,S
